Run configurations: model=allenai/unifiedqa-v2-t5-base-1251000 train=./data/unifiedQA/train_direct_500.json eval=./data/unifiedQA/test.json train_batch=16 eval_batch=16 epochs=20
Dataset	Epoch	Precision	Recall	F1	Accuracy
train	-1	0.6180758017492711	0.848	0.7150084317032042	0.662
eval	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
train	0	0.7713178294573644	0.796	0.7834645669291339	0.78
eval	0	0.9272727272727272	0.9272727272727272	0.9272727272727272	0.92
train	1	0.8158844765342961	0.904	0.8576850094876661	0.85
eval	1	0.9375	0.9545454545454546	0.9459459459459459	0.94
train	2	0.8939393939393939	0.944	0.9182879377431905	0.916
eval	2	0.9523809523809523	0.9090909090909091	0.9302325581395349	0.925
train	3	0.970954356846473	0.936	0.9531568228105907	0.954
eval	3	0.9690721649484536	0.8545454545454545	0.9082125603864734	0.905
train	4	0.9154411764705882	0.996	0.9540229885057471	0.952
eval	4	0.8852459016393442	0.9818181818181818	0.9310344827586207	0.92
train	5	0.9960159362549801	1.0	0.998003992015968	0.998
eval	5	0.9459459459459459	0.9545454545454546	0.9502262443438914	0.945
train	6	1.0	0.996	0.9979959919839679	0.998
eval	6	0.96875	0.8454545454545455	0.9029126213592233	0.9
train	7	1.0	1.0	1.0	1.0
eval	7	0.9357798165137615	0.9272727272727272	0.9315068493150684	0.925
train	8	1.0	1.0	1.0	1.0
eval	8	0.9357798165137615	0.9272727272727272	0.9315068493150684	0.925
train	9	1.0	1.0	1.0	1.0
eval	9	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	10	1.0	1.0	1.0	1.0
eval	10	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	11	1.0	1.0	1.0	1.0
eval	11	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	12	1.0	1.0	1.0	1.0
eval	12	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	13	1.0	1.0	1.0	1.0
eval	13	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	14	1.0	1.0	1.0	1.0
eval	14	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	15	1.0	1.0	1.0	1.0
eval	15	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	16	1.0	1.0	1.0	1.0
eval	16	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	17	1.0	1.0	1.0	1.0
eval	17	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	18	1.0	1.0	1.0	1.0
eval	18	0.9363636363636364	0.9363636363636364	0.9363636363636364	0.93
train	19	1.0	1.0	1.0	1.0
eval	19	0.9279279279279279	0.9363636363636364	0.9321266968325792	0.925
