Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.6078431372549019	0.9748427672955975	0.7487922705314008	0.6698113207547169
tacred:test	-1	0.6057692307692307	0.9767441860465116	0.747774480712166	0.6666666666666666
tacred_combined:val	-1	0.5218531468531469	0.978688524590164	0.6807297605473205	0.5094339622641509
tacred_combined:test	-1	0.5208333333333334	0.9727626459143969	0.6784260515603798	0.5189393939393939
unifiedQA:test	-1	0.6858974358974359	0.9727272727272728	0.8045112781954887	0.74
anchor:dummy	-1	0.14285714285714285	1.0	0.25	0.25
