Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7432835820895523	0.7854889589905363	0.763803680981595	0.7562893081761006
tacred:test	-1	0.7894736842105263	0.9090909090909091	0.8450704225352113	0.8333333333333334
unifiedQA:test	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
anchor:dummy	-1	0.13114754098360656	1.0	0.23188405797101452	0.171875
tacred:val	0	0.9208860759493671	0.9150943396226415	0.9179810725552051	0.9182389937106918
tacred:test	0	0.9477611940298507	0.9621212121212122	0.9548872180451128	0.9545454545454546
unifiedQA:test	0	0.8333333333333334	0.9545454545454546	0.8898305084745762	0.87
anchor:dummy	0	0.14814814814814814	1.0	0.25806451612903225	0.28125
tacred:val	1	0.9546925566343042	0.9276729559748428	0.9409888357256778	0.9418238993710691
tacred:test	1	0.9548872180451128	0.9621212121212122	0.958490566037736	0.9583333333333334
unifiedQA:test	1	0.8617886178861789	0.9636363636363636	0.9098712446351931	0.895
anchor:dummy	1	0.16666666666666666	1.0	0.2857142857142857	0.375
tacred:val	2	0.8128342245989305	0.9559748427672956	0.8786127167630058	0.8679245283018868
tacred:test	2	0.8496732026143791	0.9848484848484849	0.9122807017543859	0.9053030303030303
unifiedQA:test	2	0.8120300751879699	0.9818181818181818	0.8888888888888888	0.865
anchor:dummy	2	0.12698412698412698	1.0	0.22535211267605632	0.140625
tacred:val	3	0.8710601719197708	0.9559748427672956	0.911544227886057	0.9072327044025157
tacred:test	3	0.9027777777777778	0.9848484848484849	0.9420289855072465	0.9393939393939394
unifiedQA:test	3	0.7517241379310344	0.990909090909091	0.8549019607843137	0.815
anchor:dummy	3	0.12698412698412698	1.0	0.22535211267605632	0.140625
tacred:val	4	0.9736842105263158	0.9308176100628931	0.9517684887459807	0.9528301886792453
tacred:test	4	0.9767441860465116	0.9545454545454546	0.9655172413793104	0.9659090909090909
unifiedQA:test	4	0.905982905982906	0.9636363636363636	0.9339207048458149	0.925
anchor:dummy	4	0.1702127659574468	1.0	0.2909090909090909	0.390625
tacred:val	5	0.9798657718120806	0.9182389937106918	0.9480519480519481	0.949685534591195
tacred:test	5	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9696969696969697
unifiedQA:test	5	0.9230769230769231	0.9818181818181818	0.9515418502202644	0.945
anchor:dummy	5	0.16666666666666666	1.0	0.2857142857142857	0.375
tacred:val	6	0.9638157894736842	0.9213836477987422	0.9421221864951769	0.9433962264150944
tacred:test	6	0.9767441860465116	0.9545454545454546	0.9655172413793104	0.9659090909090909
unifiedQA:test	6	0.9357798165137615	0.9272727272727272	0.9315068493150684	0.925
anchor:dummy	6	0.21052631578947367	1.0	0.34782608695652173	0.53125
tacred:val	7	0.97	0.9150943396226415	0.9417475728155339	0.9433962264150944
tacred:test	7	0.9765625	0.946969696969697	0.9615384615384616	0.9621212121212122
unifiedQA:test	7	0.9107142857142857	0.9272727272727272	0.918918918918919	0.91
anchor:dummy	7	0.14814814814814814	1.0	0.25806451612903225	0.28125
tacred:val	8	0.9587301587301588	0.949685534591195	0.9541864139020537	0.9544025157232704
tacred:test	8	0.9621212121212122	0.9621212121212122	0.9621212121212122	0.9621212121212122
unifiedQA:test	8	0.8244274809160306	0.9818181818181818	0.896265560165975	0.875
anchor:dummy	8	0.13793103448275862	1.0	0.2424242424242424	0.21875
tacred:val	9	0.9186746987951807	0.9591194968553459	0.9384615384615385	0.9371069182389937
tacred:test	9	0.9558823529411765	0.9848484848484849	0.9701492537313432	0.9696969696969697
unifiedQA:test	9	0.7534246575342466	1.0	0.8593750000000001	0.82
anchor:dummy	9	0.14035087719298245	1.0	0.24615384615384614	0.234375
tacred:val	10	0.976027397260274	0.8962264150943396	0.9344262295081969	0.9371069182389937
tacred:test	10	1.0	0.9393939393939394	0.96875	0.9696969696969697
unifiedQA:test	10	0.9166666666666666	0.9	0.908256880733945	0.9
anchor:dummy	10	0.4	1.0	0.5714285714285715	0.8125
tacred:val	11	0.9667774086378738	0.9150943396226415	0.9402261712439419	0.9418238993710691
tacred:test	11	0.9920634920634921	0.946969696969697	0.9689922480620156	0.9696969696969697
unifiedQA:test	11	0.7714285714285715	0.9818181818181818	0.864	0.83
