Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.8073394495412844	0.832807570977918	0.8198757763975155	0.8160377358490566
tacred:test	-1	0.7551020408163265	0.8604651162790697	0.8043478260869564	0.7840909090909091
unifiedQA:test	-1	0.9411764705882353	0.8727272727272727	0.9056603773584905	0.9
anchor:dummy	-1	0.3333333333333333	1.0	0.5	0.75
tacred:val	0	0.9233038348082596	0.9842767295597484	0.9528158295281582	0.9512578616352201
tacred:test	0	0.9347826086956522	0.9772727272727273	0.9555555555555557	0.9545454545454546
unifiedQA:test	0	0.9382716049382716	0.6909090909090909	0.7958115183246073	0.805
anchor:dummy	0	0.1951219512195122	1.0	0.326530612244898	0.484375
tacred:val	1	0.9470404984423676	0.9559748427672956	0.9514866979655713	0.9512578616352201
tacred:test	1	0.9280575539568345	0.9772727272727273	0.9520295202952029	0.9507575757575758
unifiedQA:test	1	0.9047619047619048	0.17272727272727273	0.29007633587786263	0.535
anchor:dummy	1	0.75	0.75	0.75	0.9375
tacred:val	2	0.8942857142857142	0.9842767295597484	0.937125748502994	0.9339622641509434
tacred:test	2	0.8733333333333333	0.9924242424242424	0.9290780141843972	0.9242424242424242
unifiedQA:test	2	0.8857142857142857	0.2818181818181818	0.42758620689655175	0.585
anchor:dummy	2	0.2962962962962963	1.0	0.45714285714285713	0.703125
tacred:val	3	0.8994252873563219	0.9842767295597484	0.93993993993994	0.9371069182389937
tacred:test	3	0.8775510204081632	0.9772727272727273	0.9247311827956989	0.9204545454545454
unifiedQA:test	3	0.8536585365853658	0.3181818181818182	0.46357615894039733	0.595
anchor:dummy	3	0.27586206896551724	1.0	0.4324324324324324	0.671875
tacred:val	4	0.9834437086092715	0.9339622641509434	0.9580645161290322	0.9591194968553459
tacred:test	4	0.9907407407407407	0.8106060606060606	0.8916666666666666	0.9015151515151515
unifiedQA:test	4	0.9393939393939394	0.2818181818181818	0.4335664335664336	0.595
anchor:dummy	4	0.6666666666666666	1.0	0.8	0.9375
tacred:val	5	0.9965156794425087	0.89937106918239	0.9454545454545454	0.9481132075471698
tacred:test	5	0.990990990990991	0.8333333333333334	0.9053497942386831	0.9128787878787878
unifiedQA:test	5	0.8709677419354839	0.24545454545454545	0.3829787234042553	0.565
anchor:dummy	5	0.5	1.0	0.6666666666666666	0.875
tacred:val	6	0.9913419913419913	0.720125786163522	0.8342440801457195	0.8569182389937107
tacred:test	6	1.0	0.4318181818181818	0.6031746031746031	0.7159090909090909
unifiedQA:test	6	0.8	0.03636363636363636	0.06956521739130435	0.465
anchor:dummy	6	1.0	0.5	0.6666666666666666	0.9375
tacred:val	7	0.9806451612903225	0.9559748427672956	0.9681528662420381	0.9685534591194969
tacred:test	7	0.9461538461538461	0.9318181818181818	0.9389312977099236	0.9393939393939394
unifiedQA:test	7	0.7906976744186046	0.3090909090909091	0.4444444444444444	0.575
anchor:dummy	7	0.20512820512820512	1.0	0.3404255319148936	0.515625
tacred:val	8	0.9778761061946902	0.6949685534591195	0.8124999999999999	0.839622641509434
tacred:test	8	0.9852941176470589	0.5075757575757576	0.67	0.75
unifiedQA:test	8	0.3333333333333333	0.03636363636363636	0.06557377049180327	0.43
anchor:dummy	8	0.6153846153846154	1.0	0.761904761904762	0.921875
tacred:val	9	0.9887640449438202	0.8301886792452831	0.9025641025641026	0.910377358490566
tacred:test	9	0.9883720930232558	0.6439393939393939	0.7798165137614679	0.8181818181818182
unifiedQA:test	9	0.875	0.06363636363636363	0.11864406779661017	0.48
anchor:dummy	9	0.8	1.0	0.888888888888889	0.96875
tacred:val	10	0.9394904458598726	0.9276729559748428	0.9335443037974683	0.9339622641509434
tacred:test	10	0.925	0.8409090909090909	0.8809523809523809	0.8863636363636364
unifiedQA:test	10	0.7692307692307693	0.18181818181818182	0.29411764705882354	0.52
anchor:dummy	10	0.3157894736842105	0.75	0.44444444444444436	0.765625
tacred:val	11	0.9936708860759493	0.4937106918238994	0.6596638655462185	0.7452830188679245
tacred:test	11	0.9512195121951219	0.29545454545454547	0.45086705202312144	0.6401515151515151
unifiedQA:test	11	0.6	0.02727272727272727	0.05217391304347826	0.455
anchor:dummy	11	0	0.0	0	0.875
tacred:val	12	0.9640718562874252	0.5062893081761006	0.6639175257731958	0.7437106918238994
tacred:test	12	0.9803921568627451	0.3787878787878788	0.546448087431694	0.6856060606060606
unifiedQA:test	12	0.29411764705882354	0.045454545454545456	0.07874015748031496	0.415
anchor:dummy	12	0	0.0	0	0.875
tacred:val	13	0.9071428571428571	0.7987421383647799	0.8494983277591973	0.8584905660377359
tacred:test	13	0.9431818181818182	0.6287878787878788	0.7545454545454545	0.7954545454545454
unifiedQA:test	13	0.6585365853658537	0.24545454545454545	0.3576158940397351	0.515
anchor:dummy	13	0.2631578947368421	0.625	0.37037037037037035	0.734375
tacred:val	14	0.9357142857142857	0.8238993710691824	0.8762541806020067	0.8836477987421384
tacred:test	14	0.95	0.7196969696969697	0.8189655172413793	0.8409090909090909
unifiedQA:test	14	0.7777777777777778	0.44545454545454544	0.5664739884393064	0.625
anchor:dummy	14	0.25	1.0	0.4	0.625
tacred:val	15	0.9389312977099237	0.7735849056603774	0.8482758620689655	0.8616352201257862
tacred:test	15	0.9396551724137931	0.8257575757575758	0.8790322580645162	0.8863636363636364
unifiedQA:test	15	0.4666666666666667	0.12727272727272726	0.19999999999999996	0.44
anchor:dummy	15	0.25	0.5	0.3333333333333333	0.75
tacred:val	16	0.9539473684210527	0.4559748427672956	0.6170212765957447	0.7169811320754716
tacred:test	16	0.98	0.3712121212121212	0.5384615384615384	0.6818181818181818
unifiedQA:test	16	0.47058823529411764	0.07272727272727272	0.12598425196850394	0.445
anchor:dummy	16	1.0	0.25	0.4	0.90625
tacred:val	17	0.9016393442622951	0.6918238993710691	0.7829181494661922	0.8081761006289309
tacred:test	17	0.9375	0.5681818181818182	0.7075471698113207	0.7651515151515151
unifiedQA:test	17	0.4642857142857143	0.23636363636363636	0.3132530120481928	0.43
anchor:dummy	17	0.75	0.375	0.5	0.90625
tacred:val	18	0.9207317073170732	0.4748427672955975	0.6265560165975104	0.7169811320754716
tacred:test	18	0.92	0.3484848484848485	0.5054945054945055	0.6590909090909091
unifiedQA:test	18	0.41935483870967744	0.11818181818181818	0.18439716312056736	0.425
anchor:dummy	18	0	0.0	0	0.875
tacred:val	19	0.9184782608695652	0.5314465408805031	0.6733067729083666	0.7421383647798742
tacred:test	19	0.8947368421052632	0.38636363636363635	0.5396825396825397	0.6704545454545454
unifiedQA:test	19	0.5	0.1	0.16666666666666669	0.45
anchor:dummy	19	0.5	0.25	0.3333333333333333	0.875
