Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.760806916426513	0.832807570977918	0.7951807228915662	0.7783018867924528
tacred:test	-1	0.7449664429530202	0.8604651162790697	0.7985611510791367	0.7765151515151515
unifiedQA:test	-1	0.9411764705882353	0.8727272727272727	0.9056603773584905	0.9
anchor:dummy	-1	0.3333333333333333	1.0	0.5	0.75
tacred:val	0	0.7554585152838428	0.5440251572327044	0.6325411334552101	0.6839622641509434
tacred:test	0	0.8625	0.5227272727272727	0.6509433962264151	0.7196969696969697
unifiedQA:test	0	0.989247311827957	0.8363636363636363	0.9064039408866994	0.905
anchor:dummy	0	0.4	1.0	0.5714285714285715	0.8125
tacred:val	1	0.6545454545454545	0.33962264150943394	0.4472049689440994	0.5801886792452831
tacred:test	1	0.7209302325581395	0.23484848484848486	0.35428571428571426	0.571969696969697
unifiedQA:test	1	0.9655172413793104	0.509090909090909	0.6666666666666667	0.72
anchor:dummy	1	1.0	0.875	0.9333333333333333	0.984375
tacred:val	2	0.7777777777777778	0.1540880503144654	0.2572178477690289	0.5550314465408805
tacred:test	2	0.8235294117647058	0.10606060606060606	0.18791946308724833	0.5416666666666666
unifiedQA:test	2	0.9629629629629629	0.23636363636363636	0.3795620437956204	0.575
anchor:dummy	2	1.0	0.625	0.7692307692307693	0.953125
tacred:val	3	0.7155963302752294	0.24528301886792453	0.36533957845433257	0.5738993710691824
tacred:test	3	0.88	0.16666666666666666	0.2802547770700637	0.571969696969697
unifiedQA:test	3	0.9183673469387755	0.4090909090909091	0.5660377358490567	0.655
anchor:dummy	3	1.0	0.875	0.9333333333333333	0.984375
tacred:val	4	0.5544554455445545	0.1761006289308176	0.26730310262529833	0.5172955974842768
tacred:test	4	0.5454545454545454	0.09090909090909091	0.15584415584415584	0.5075757575757576
unifiedQA:test	4	0.9310344827586207	0.24545454545454545	0.3884892086330935	0.575
anchor:dummy	4	1.0	0.875	0.9333333333333333	0.984375
tacred:val	5	0.78	0.12264150943396226	0.21195652173913046	0.5440251572327044
tacred:test	5	0.8	0.06060606060606061	0.11267605633802819	0.5227272727272727
unifiedQA:test	5	0.9	0.16363636363636364	0.27692307692307694	0.53
anchor:dummy	5	1.0	0.125	0.2222222222222222	0.890625
tacred:val	6	0.6526315789473685	0.1949685534591195	0.30024213075060535	0.5455974842767296
tacred:test	6	1.0	0.11363636363636363	0.20408163265306123	0.5568181818181818
unifiedQA:test	6	0.9032258064516129	0.2545454545454545	0.39716312056737585	0.575
anchor:dummy	6	1.0	0.75	0.8571428571428571	0.96875
tacred:val	7	0.5813953488372093	0.07861635220125786	0.13850415512465375	0.5110062893081762
tacred:test	7	0.8	0.030303030303030304	0.05839416058394161	0.5113636363636364
unifiedQA:test	7	0.9230769230769231	0.10909090909090909	0.1951219512195122	0.505
anchor:dummy	7	1.0	0.375	0.5454545454545454	0.921875
tacred:val	8	0.5238095238095238	0.13836477987421383	0.21890547263681592	0.5062893081761006
tacred:test	8	0.6111111111111112	0.08333333333333333	0.14666666666666667	0.5151515151515151
unifiedQA:test	8	1.0	0.22727272727272727	0.37037037037037035	0.575
anchor:dummy	8	1.0	0.25	0.4	0.90625
tacred:val	9	0.592814371257485	0.3113207547169811	0.4082474226804124	0.5440251572327044
tacred:test	9	0.6578947368421053	0.1893939393939394	0.2941176470588235	0.5416666666666666
unifiedQA:test	9	0.896551724137931	0.4727272727272727	0.6190476190476191	0.68
anchor:dummy	9	1.0	0.75	0.8571428571428571	0.8125
tacred:val	10	0.6136363636363636	0.08490566037735849	0.14917127071823205	0.5157232704402516
tacred:test	10	0.1	0.007575757575757576	0.014084507042253523	0.4696969696969697
unifiedQA:test	10	0.7777777777777778	0.06363636363636363	0.1176470588235294	0.475
anchor:dummy	10	0	0.0	0	0.875
tacred:val	11	0.5573770491803278	0.1069182389937107	0.17941952506596306	0.5110062893081762
tacred:test	11	0.4444444444444444	0.06060606060606061	0.10666666666666667	0.49242424242424243
unifiedQA:test	11	0.9259259259259259	0.22727272727272727	0.36496350364963503	0.565
anchor:dummy	11	1.0	0.25	0.4	0.90625
tacred:val	12	0.4	0.11320754716981132	0.17647058823529413	0.4716981132075472
tacred:test	12	0.4827586206896552	0.10606060606060606	0.1739130434782609	0.4962121212121212
unifiedQA:test	12	1.0	0.17272727272727273	0.2945736434108527	0.545
anchor:dummy	12	0.5	0.125	0.2	0.875
tacred:val	13	0.5384615384615384	0.6163522012578616	0.5747800586510263	0.5440251572327044
tacred:test	13	0.5172413793103449	0.45454545454545453	0.4838709677419355	0.5151515151515151
unifiedQA:test	13	0.7931034482758621	0.6272727272727273	0.700507614213198	0.705
anchor:dummy	13	0.47058823529411764	1.0	0.6399999999999999	0.859375
tacred:val	14	0.631578947368421	0.11320754716981132	0.192	0.5235849056603774
tacred:test	14	0.5555555555555556	0.07575757575757576	0.13333333333333333	0.5075757575757576
unifiedQA:test	14	1.0	0.11818181818181818	0.21138211382113822	0.515
anchor:dummy	14	0	0.0	0	0.875
tacred:val	15	0.46153846153846156	0.03773584905660377	0.06976744186046512	0.4968553459119497
tacred:test	15	0.5714285714285714	0.030303030303030304	0.05755395683453238	0.5037878787878788
unifiedQA:test	15	1.0	0.03636363636363636	0.07017543859649122	0.47
anchor:dummy	15	0	0.0	0	0.875
tacred:val	16	0.6666666666666666	0.012578616352201259	0.02469135802469136	0.5031446540880503
tacred:test	16	0	0.0	0	0.5
unifiedQA:test	16	1.0	0.01818181818181818	0.03571428571428572	0.46
anchor:dummy	16	0	0.0	0	0.875
tacred:val	17	0.6595744680851063	0.1949685534591195	0.30097087378640774	0.5471698113207547
tacred:test	17	0.6153846153846154	0.12121212121212122	0.20253164556962025	0.5227272727272727
unifiedQA:test	17	0.625	0.18181818181818182	0.28169014084507044	0.49
anchor:dummy	17	0	0.0	0	0.875
tacred:val	18	0.6666666666666666	0.12578616352201258	0.21164021164021163	0.5314465408805031
tacred:test	18	0.9166666666666666	0.08333333333333333	0.15277777777777776	0.5378787878787878
unifiedQA:test	18	0.6666666666666666	0.10909090909090909	0.1875	0.48
anchor:dummy	18	0	0.0	0	0.875
tacred:val	19	0.6071428571428571	0.2138364779874214	0.3162790697674418	0.5377358490566038
tacred:test	19	0.5666666666666667	0.12878787878787878	0.20987654320987653	0.5151515151515151
unifiedQA:test	19	0.9444444444444444	0.15454545454545454	0.265625	0.53
anchor:dummy	19	0	0.0	0	0.875
