Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7732919254658385	0.7854889589905363	0.7793427230046948	0.7767295597484277
tacred:test	-1	0.8163265306122449	0.9090909090909091	0.8602150537634408	0.8522727272727273
unifiedQA:test	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
anchor:dummy	-1	0.13114754098360656	1.0	0.23188405797101452	0.171875
tacred:val	0	0.8387096774193549	0.9811320754716981	0.9043478260869565	0.8962264150943396
tacred:test	0	0.8835616438356164	0.9772727272727273	0.9280575539568345	0.9242424242424242
unifiedQA:test	0	0.9217391304347826	0.9636363636363636	0.9422222222222223	0.935
anchor:dummy	0	0.12698412698412698	1.0	0.22535211267605632	0.140625
tacred:val	1	0.9577922077922078	0.9276729559748428	0.9424920127795526	0.9433962264150944
tacred:test	1	0.952755905511811	0.9166666666666666	0.9343629343629343	0.9356060606060606
unifiedQA:test	1	0.9629629629629629	0.23636363636363636	0.3795620437956204	0.575
anchor:dummy	1	0.3076923076923077	1.0	0.47058823529411764	0.71875
tacred:val	2	0.9575163398692811	0.9213836477987422	0.9391025641025641	0.940251572327044
tacred:test	2	0.967479674796748	0.9015151515151515	0.9333333333333333	0.9356060606060606
unifiedQA:test	2	0.9285714285714286	0.23636363636363636	0.37681159420289856	0.57
anchor:dummy	2	0.8888888888888888	1.0	0.9411764705882353	0.984375
tacred:val	3	0.9809885931558935	0.8113207547169812	0.8881239242685026	0.8977987421383647
tacred:test	3	1.0	0.696969696969697	0.8214285714285715	0.8484848484848485
unifiedQA:test	3	0.9444444444444444	0.3090909090909091	0.4657534246575342	0.61
anchor:dummy	3	1.0	0.875	0.9333333333333333	0.984375
tacred:val	4	0.9614147909967846	0.940251572327044	0.9507154213036566	0.9512578616352201
tacred:test	4	0.9846153846153847	0.9696969696969697	0.9770992366412214	0.9772727272727273
unifiedQA:test	4	0.8333333333333334	0.13636363636363635	0.23437499999999997	0.51
anchor:dummy	4	0.36363636363636365	1.0	0.5333333333333333	0.78125
tacred:val	5	0.9546925566343042	0.9276729559748428	0.9409888357256778	0.9418238993710691
tacred:test	5	0.9915966386554622	0.8939393939393939	0.9402390438247011	0.9431818181818182
unifiedQA:test	5	0.8461538461538461	0.2	0.3235294117647059	0.54
anchor:dummy	5	1.0	0.5	0.6666666666666666	0.9375
tacred:val	6	0.8539944903581267	0.9748427672955975	0.9104258443465492	0.9040880503144654
tacred:test	6	0.9136690647482014	0.9621212121212122	0.937269372693727	0.9356060606060606
unifiedQA:test	6	0.8461538461538461	0.3	0.4429530201342282	0.585
anchor:dummy	6	0.19047619047619047	1.0	0.32	0.46875
tacred:val	7	0.9223300970873787	0.8962264150943396	0.9090909090909091	0.910377358490566
tacred:test	7	0.968503937007874	0.9318181818181818	0.9498069498069498	0.9507575757575758
unifiedQA:test	7	0.8181818181818182	0.24545454545454545	0.3776223776223776	0.555
anchor:dummy	7	0.5454545454545454	0.75	0.631578947368421	0.890625
tacred:val	8	0.9259259259259259	0.8647798742138365	0.8943089430894309	0.8977987421383647
