Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7810650887573964	0.832807570977918	0.8061068702290075	0.7940251572327044
tacred:test	-1	0.75	0.8604651162790697	0.8014440433212997	0.7803030303030303
tacred_combined:val	-1	0.619108280254777	0.7776	0.6893617021276596	0.6430817610062893
tacred_combined:test	-1	0.6238805970149254	0.810077519379845	0.7048903878583473	0.6420454545454546
tacred_empty:val	-1	0.0	0	0	0.0880503144654088
tacred_empty:test	-1	0.0	0	0	0.10606060606060606
unifiedQA:test	-1	0.9411764705882353	0.8727272727272727	0.9056603773584905	0.9
anchor:dummy	-1	0.3333333333333333	1.0	0.5	0.75
tacred:val	0	0.9690402476780186	0.9842767295597484	0.9765990639625585	0.9764150943396226
tacred:test	0	0.9562043795620438	0.9924242424242424	0.9739776951672863	0.9734848484848485
tacred_combined:val	0	0.968944099378882	0.9811320754716981	0.975	0.9748427672955975
tacred_combined:test	0	0.966789667896679	0.9924242424242424	0.9794392523364486	0.9791666666666666
tacred_empty:val	0	0	0	0	1.0
tacred_empty:test	0	0	0	0	1.0
unifiedQA:test	0	0.9117647058823529	0.8454545454545455	0.8773584905660377	0.87
anchor:dummy	0	0.4	1.0	0.5714285714285715	0.8125
tacred:val	1	0.9966666666666667	0.940251572327044	0.9676375404530745	0.9685534591194969
tacred:test	1	0.9846153846153847	0.9696969696969697	0.9770992366412214	0.9772727272727273
tacred_combined:val	1	0.9822294022617124	0.9559748427672956	0.9689243027888446	0.9693396226415094
tacred_combined:test	1	0.9846743295019157	0.9734848484848485	0.979047619047619	0.9791666666666666
tacred_empty:val	1	0	0	0	1.0
tacred_empty:test	1	0	0	0	1.0
unifiedQA:test	1	0.8991596638655462	0.9727272727272728	0.9344978165938865	0.925
anchor:dummy	1	0.4444444444444444	1.0	0.6153846153846153	0.84375
tacred:val	2	0.9903846153846154	0.9716981132075472	0.9809523809523809	0.9811320754716981
tacred:test	2	0.9626865671641791	0.9772727272727273	0.9699248120300752	0.9696969696969697
tacred_combined:val	2	0.9778129952456418	0.970125786163522	0.9739542225730071	0.9740566037735849
tacred_combined:test	2	0.9773584905660377	0.9810606060606061	0.9792060491493385	0.9791666666666666
tacred_empty:val	2	0	0	0	1.0
tacred_empty:test	2	0	0	0	1.0
unifiedQA:test	2	0.9099099099099099	0.9181818181818182	0.914027149321267	0.905
anchor:dummy	2	0.20512820512820512	1.0	0.3404255319148936	0.515625
tacred:val	3	1.0	0.8679245283018868	0.9292929292929293	0.9339622641509434
tacred:test	3	0.9920634920634921	0.946969696969697	0.9689922480620156	0.9696969696969697
tacred_combined:val	3	0.9913793103448276	0.9040880503144654	0.9457236842105263	0.9481132075471698
tacred_combined:test	3	0.9959677419354839	0.9356060606060606	0.9648437499999999	0.9659090909090909
tacred_empty:val	3	0	0	0	1.0
tacred_empty:test	3	0	0	0	1.0
unifiedQA:test	3	0.9272727272727272	0.9272727272727272	0.9272727272727272	0.92
anchor:dummy	3	0.8888888888888888	1.0	0.9411764705882353	0.984375
tacred:val	4	0.9965156794425087	0.89937106918239	0.9454545454545454	0.9481132075471698
tacred:test	4	0.9919354838709677	0.9318181818181818	0.9609375	0.9621212121212122
tacred_combined:val	4	0.9915254237288136	0.9198113207547169	0.9543230016313213	0.9559748427672956
tacred_combined:test	4	0.9841897233201581	0.9431818181818182	0.9632495164410059	0.9640151515151515
tacred_empty:val	4	0	0	0	1.0
tacred_empty:test	4	0	0	0	1.0
unifiedQA:test	4	0.9439252336448598	0.9181818181818182	0.9308755760368663	0.925
anchor:dummy	4	0.6666666666666666	1.0	0.8	0.9375
tacred:val	5	0.9804560260586319	0.9465408805031447	0.9632	0.9638364779874213
tacred:test	5	0.9477611940298507	0.9621212121212122	0.9548872180451128	0.9545454545454546
tacred_combined:val	5	0.964968152866242	0.9528301886792453	0.9588607594936709	0.9591194968553459
tacred_combined:test	5	0.9731800766283525	0.9621212121212122	0.9676190476190476	0.9678030303030303
tacred_empty:val	5	0	0	0	1.0
tacred_empty:test	5	0	0	0	1.0
unifiedQA:test	5	0.8898305084745762	0.9545454545454546	0.9210526315789475	0.91
anchor:dummy	5	0.5333333333333333	1.0	0.6956521739130436	0.890625
tacred:val	6	0.9766666666666667	0.9213836477987422	0.9482200647249192	0.949685534591195
tacred:test	6	0.96875	0.9393939393939394	0.9538461538461539	0.9545454545454546
tacred_combined:val	6	0.9705400981996727	0.9323899371069182	0.9510825982357657	0.9520440251572327
tacred_combined:test	6	0.9803921568627451	0.946969696969697	0.9633911368015415	0.9640151515151515
tacred_empty:val	6	0	0	0	1.0
tacred_empty:test	6	0	0	0	1.0
unifiedQA:test	6	0.8629032258064516	0.9727272727272728	0.9145299145299146	0.9
anchor:dummy	6	0.35714285714285715	0.625	0.45454545454545453	0.8125
tacred:val	7	0.9915966386554622	0.7421383647798742	0.8489208633093526	0.8679245283018868
tacred:test	7	0.9900990099009901	0.7575757575757576	0.8583690987124464	0.875
tacred_combined:val	7	0.979381443298969	0.7468553459119497	0.847457627118644	0.8655660377358491
tacred_combined:test	7	0.9854368932038835	0.7689393939393939	0.8638297872340427	0.8787878787878788
tacred_empty:val	7	0	0	0	1.0
tacred_empty:test	7	0	0	0	1.0
unifiedQA:test	7	0.8076923076923077	0.9545454545454546	0.875	0.85
anchor:dummy	7	0.36363636363636365	0.5	0.4210526315789474	0.828125
