Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7757009345794392	0.7854889589905363	0.780564263322884	0.7751572327044025
tacred:test	-1	0.7741935483870968	0.9090909090909091	0.8362369337979094	0.821969696969697
tacred_combined:val	-1	0.5704057279236276	0.7611464968152867	0.6521145975443383	0.5911949685534591
tacred_combined:test	-1	0.6328767123287671	0.8783269961977186	0.7356687898089173	0.6799242424242424
unifiedQA:test	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
anchor:dummy	-1	0.13114754098360656	1.0	0.23188405797101452	0.171875
tacred:val	0	0.9808429118773946	0.8050314465408805	0.8842832469775475	0.8946540880503144
tacred:test	0	0.9914529914529915	0.8787878787878788	0.931726907630522	0.9356060606060606
tacred_combined:val	0	0.9752380952380952	0.8050314465408805	0.8819982773471146	0.8922955974842768
tacred_combined:test	0	0.9790794979079498	0.8863636363636364	0.930417495029821	0.9337121212121212
unifiedQA:test	0	0.972972972972973	0.6545454545454545	0.782608695652174	0.8
anchor:dummy	0	0.3333333333333333	1.0	0.5	0.75
tacred:val	1	0.9650793650793651	0.9559748427672956	0.9605055292259084	0.960691823899371
tacred:test	1	0.9136690647482014	0.9621212121212122	0.937269372693727	0.9356060606060606
tacred_combined:val	1	0.9633173843700159	0.949685534591195	0.9564528899445764	0.9567610062893082
tacred_combined:test	1	0.9584905660377359	0.9621212121212122	0.9603024574669187	0.9602272727272727
unifiedQA:test	1	0.9464285714285714	0.9636363636363636	0.9549549549549549	0.95
anchor:dummy	1	0.16666666666666666	1.0	0.2857142857142857	0.375
tacred:val	2	0.9315476190476191	0.9842767295597484	0.9571865443425075	0.9559748427672956
tacred:test	2	0.8716216216216216	0.9772727272727273	0.9214285714285714	0.9166666666666666
tacred_combined:val	2	0.9246676514032496	0.9842767295597484	0.9535415079969536	0.9520440251572327
tacred_combined:test	2	0.9381818181818182	0.9772727272727273	0.9573283858998145	0.9564393939393939
unifiedQA:test	2	0.9145299145299145	0.9727272727272728	0.9427312775330396	0.935
anchor:dummy	2	0.14814814814814814	1.0	0.25806451612903225	0.28125
tacred:val	3	0.9230769230769231	0.9811320754716981	0.9512195121951219	0.949685534591195
tacred:test	3	0.8951048951048951	0.9696969696969697	0.930909090909091	0.928030303030303
tacred_combined:val	3	0.9176470588235294	0.9811320754716981	0.9483282674772036	0.9465408805031447
tacred_combined:test	3	0.935251798561151	0.9848484848484849	0.959409594095941	0.9583333333333334
unifiedQA:test	3	0.8916666666666667	0.9727272727272728	0.9304347826086957	0.92
anchor:dummy	3	0.18604651162790697	1.0	0.3137254901960785	0.453125
tacred:val	4	0.9464285714285714	1.0	0.9724770642201834	0.9716981132075472
tacred:test	4	0.916083916083916	0.9924242424242424	0.9527272727272728	0.9507575757575758
tacred_combined:val	4	0.9387144992526159	0.9874213836477987	0.9624521072796935	0.9614779874213837
tacred_combined:test	4	0.9361702127659575	1.0	0.967032967032967	0.9659090909090909
unifiedQA:test	4	0.7096774193548387	1.0	0.8301886792452831	0.775
anchor:dummy	4	0.14545454545454545	1.0	0.25396825396825395	0.265625
tacred:val	5	0.9771241830065359	0.940251572327044	0.9583333333333333	0.9591194968553459
tacred:test	5	0.9618320610687023	0.9545454545454546	0.9581749049429659	0.9583333333333334
tacred_combined:val	5	0.9693548387096774	0.9449685534591195	0.9570063694267514	0.9575471698113207
tacred_combined:test	5	0.9731800766283525	0.9621212121212122	0.9676190476190476	0.9678030303030303
unifiedQA:test	5	0.7883211678832117	0.9818181818181818	0.8744939271255061	0.845
anchor:dummy	5	0.23529411764705882	1.0	0.38095238095238093	0.59375
tacred:val	6	0.9571865443425076	0.9842767295597484	0.9705426356589146	0.970125786163522
tacred:test	6	0.9361702127659575	1.0	0.967032967032967	0.9659090909090909
tacred_combined:val	6	0.9733542319749217	0.9764150943396226	0.9748822605965464	0.9748427672955975
tacred_combined:test	6	0.9705882352941176	1.0	0.9850746268656716	0.9848484848484849
unifiedQA:test	6	0.7862595419847328	0.9363636363636364	0.8547717842323652	0.825
anchor:dummy	6	0.2	1.0	0.33333333333333337	0.5
tacred:val	7	0.9655172413793104	0.9685534591194969	0.9670329670329672	0.9669811320754716
tacred:test	7	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	7	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	7	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	7	0.7737226277372263	0.9636363636363636	0.8582995951417005	0.825
anchor:dummy	7	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	8	0.9685534591194969	0.9685534591194969	0.9685534591194969	0.9685534591194969
tacred:test	8	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	8	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	8	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	8	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	8	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	9	0.9655172413793104	0.9685534591194969	0.9670329670329672	0.9669811320754716
tacred:test	9	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	9	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	9	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	9	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	9	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	10	0.9684542586750788	0.9654088050314465	0.9669291338582677	0.9669811320754716
tacred:test	10	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	10	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	10	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	10	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	10	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	11	0.9655172413793104	0.9685534591194969	0.9670329670329672	0.9669811320754716
tacred:test	11	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	11	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	11	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	11	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	11	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	12	0.9684542586750788	0.9654088050314465	0.9669291338582677	0.9669811320754716
tacred:test	12	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	12	0.9825119236883942	0.9716981132075472	0.9770750988142293	0.9772012578616353
tacred_combined:test	12	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	12	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	12	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	13	0.9655172413793104	0.9685534591194969	0.9670329670329672	0.9669811320754716
tacred:test	13	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	13	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	13	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	13	0.7737226277372263	0.9636363636363636	0.8582995951417005	0.825
anchor:dummy	13	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	14	0.9655172413793104	0.9685534591194969	0.9670329670329672	0.9669811320754716
tacred:test	14	0.9428571428571428	1.0	0.9705882352941176	0.9696969696969697
tacred_combined:val	14	0.9825396825396825	0.9732704402515723	0.9778830963665087	0.9779874213836478
tacred_combined:test	14	0.9633699633699634	0.9962121212121212	0.9795158286778398	0.9791666666666666
unifiedQA:test	14	0.7794117647058824	0.9636363636363636	0.8617886178861789	0.83
anchor:dummy	14	0.16326530612244897	1.0	0.2807017543859649	0.359375
tacred:val	15	0.9774436090225563	0.8176100628930818	0.8904109589041096	0.89937106918239
tacred:test	15	0.953125	0.9242424242424242	0.9384615384615383	0.9393939393939394
tacred_combined:val	15	0.9879931389365352	0.9056603773584906	0.9450369155045119	0.9473270440251572
tacred_combined:test	15	0.9763779527559056	0.9393939393939394	0.9575289575289576	0.9583333333333334
unifiedQA:test	15	0.8333333333333334	0.8181818181818182	0.8256880733944955	0.81
anchor:dummy	15	0.36363636363636365	1.0	0.5333333333333333	0.78125
tacred:val	16	0.9085545722713865	0.9685534591194969	0.9375951293759512	0.9355345911949685
tacred:test	16	0.891156462585034	0.9924242424242424	0.9390681003584229	0.9356060606060606
tacred_combined:val	16	0.9199417758369723	0.9937106918238994	0.9554043839758125	0.9536163522012578
tacred_combined:test	16	0.9041095890410958	1.0	0.949640287769784	0.946969696969697
unifiedQA:test	16	0.592391304347826	0.990909090909091	0.7414965986394558	0.62
anchor:dummy	16	0.13559322033898305	1.0	0.23880597014925373	0.203125
