Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7927927927927928	0.832807570977918	0.8123076923076923	0.8066037735849056
tacred:test	-1	0.7872340425531915	0.8604651162790697	0.8222222222222222	0.8068181818181818
tacred_combined:val	-1	0.6085825747724317	0.763458401305057	0.6772793053545586	0.6226415094339622
tacred_combined:test	-1	0.6264705882352941	0.8287937743190662	0.7135678391959799	0.6515151515151515
tacred_empty:val	-1	0.0	0	0	0.0880503144654088
tacred_empty:test	-1	0.0	0	0	0.10606060606060606
unifiedQA:test	-1	0.9411764705882353	0.8727272727272727	0.9056603773584905	0.9
anchor:dummy	-1	0.3333333333333333	1.0	0.5	0.75
tacred:val	0	0.9807692307692307	0.9622641509433962	0.9714285714285713	0.9716981132075472
tacred:test	0	0.9552238805970149	0.9696969696969697	0.9624060150375939	0.9621212121212122
tacred_combined:val	0	0.9698412698412698	0.960691823899371	0.9652448657187993	0.9654088050314465
tacred_combined:test	0	0.9922779922779923	0.9734848484848485	0.9827915869980879	0.9829545454545454
tacred_empty:val	0	0	0	0	1.0
tacred_empty:test	0	0	0	0	1.0
unifiedQA:test	0	0.9139784946236559	0.7727272727272727	0.8374384236453202	0.835
anchor:dummy	0	0.17073170731707318	0.875	0.28571428571428575	0.453125
tacred:val	1	0.9931506849315068	0.9119496855345912	0.9508196721311475	0.9528301886792453
tacred:test	1	0.9846153846153847	0.9696969696969697	0.9770992366412214	0.9772727272727273
tacred_combined:val	1	0.9750415973377704	0.9213836477987422	0.9474535165723524	0.9488993710691824
tacred_combined:test	1	0.9883268482490273	0.9621212121212122	0.9750479846449137	0.9753787878787878
tacred_empty:val	1	0	0	0	1.0
tacred_empty:test	1	0	0	0	1.0
unifiedQA:test	1	0.926605504587156	0.9181818181818182	0.9223744292237444	0.915
anchor:dummy	1	0.4444444444444444	1.0	0.6153846153846153	0.84375
tacred:val	2	0.9808917197452229	0.9685534591194969	0.9746835443037974	0.9748427672955975
tacred:test	2	0.9492753623188406	0.9924242424242424	0.9703703703703703	0.9696969696969697
tacred_combined:val	2	0.9748031496062992	0.9732704402515723	0.9740361919748229	0.9740566037735849
tacred_combined:test	2	0.9924528301886792	0.9962121212121212	0.9943289224952742	0.9943181818181818
tacred_empty:val	2	0	0	0	1.0
tacred_empty:test	2	0	0	0	1.0
unifiedQA:test	2	0.926605504587156	0.9181818181818182	0.9223744292237444	0.915
anchor:dummy	2	0.24242424242424243	1.0	0.3902439024390244	0.609375
tacred:val	3	0.9896907216494846	0.9056603773584906	0.9458128078817735	0.9481132075471698
tacred:test	3	0.9774436090225563	0.9848484848484849	0.981132075471698	0.9810606060606061
tacred_combined:val	3	0.9798994974874372	0.9198113207547169	0.948905109489051	0.9504716981132075
tacred_combined:test	3	0.9923664122137404	0.9848484848484849	0.9885931558935361	0.9886363636363636
tacred_empty:val	3	0	0	0	1.0
tacred_empty:test	3	0	0	0	1.0
unifiedQA:test	3	0.9207920792079208	0.8454545454545455	0.8815165876777251	0.875
anchor:dummy	3	0.6666666666666666	1.0	0.8	0.9375
tacred:val	4	0.9897959183673469	0.9150943396226415	0.9509803921568627	0.9528301886792453
tacred:test	4	1.0	0.9772727272727273	0.9885057471264368	0.9886363636363636
tacred_combined:val	4	0.9763113367174281	0.9072327044025157	0.9405052974735126	0.9426100628930818
tacred_combined:test	4	0.9844357976653697	0.9583333333333334	0.9712092130518234	0.9715909090909091
tacred_empty:val	4	0	0	0	1.0
tacred_empty:test	4	0	0	0	1.0
unifiedQA:test	4	0.9252336448598131	0.9	0.9124423963133641	0.905
anchor:dummy	4	0.4444444444444444	1.0	0.6153846153846153	0.84375
tacred:val	5	0.9829351535836177	0.9056603773584906	0.9427168576104746	0.9449685534591195
tacred:test	5	0.9701492537313433	0.9848484848484849	0.9774436090225564	0.9772727272727273
tacred_combined:val	5	0.9723127035830619	0.9386792452830188	0.9552	0.9559748427672956
tacred_combined:test	5	0.9735849056603774	0.9772727272727273	0.9754253308128544	0.9753787878787878
tacred_empty:val	5	0	0	0	1.0
tacred_empty:test	5	0	0	0	1.0
unifiedQA:test	5	0.9298245614035088	0.9636363636363636	0.9464285714285715	0.94
anchor:dummy	5	0.5714285714285714	1.0	0.7272727272727273	0.90625
tacred:val	6	0.9927797833935018	0.8647798742138365	0.9243697478991597	0.9292452830188679
tacred:test	6	0.968	0.9166666666666666	0.9416342412451363	0.9431818181818182
tacred_combined:val	6	0.9788359788359788	0.8726415094339622	0.9226932668329177	0.9268867924528302
tacred_combined:test	6	0.9877551020408163	0.9166666666666666	0.9508840864440078	0.9526515151515151
tacred_empty:val	6	0	0	0	1.0
tacred_empty:test	6	0	0	0	1.0
unifiedQA:test	6	0.9130434782608695	0.7636363636363637	0.8316831683168316	0.83
anchor:dummy	6	0.42105263157894735	1.0	0.5925925925925926	0.828125
tacred:val	7	0.9634551495016611	0.9119496855345912	0.9369951534733442	0.9386792452830188
tacred:test	7	0.9214285714285714	0.9772727272727273	0.9485294117647058	0.946969696969697
tacred_combined:val	7	0.9529983792544571	0.9245283018867925	0.9385474860335196	0.9394654088050315
tacred_combined:test	7	0.9739776951672863	0.9924242424242424	0.9831144465290806	0.9829545454545454
tacred_empty:val	7	0	0	0	1.0
tacred_empty:test	7	0	0	0	1.0
unifiedQA:test	7	0.9191919191919192	0.8272727272727273	0.8708133971291866	0.865
anchor:dummy	7	0.1951219512195122	1.0	0.326530612244898	0.484375
tacred:val	8	0.9602649006622517	0.9119496855345912	0.935483870967742	0.9371069182389937
tacred:test	8	0.9343065693430657	0.9696969696969697	0.9516728624535317	0.9507575757575758
tacred_combined:val	8	0.9429477020602218	0.9355345911949685	0.9392265193370165	0.9394654088050315
tacred_combined:test	8	0.9350180505415162	0.9810606060606061	0.9574861367837338	0.9564393939393939
tacred_empty:val	8	0	0	0	1.0
tacred_empty:test	8	0	0	0	1.0
unifiedQA:test	8	0.9130434782608695	0.9545454545454546	0.9333333333333332	0.925
anchor:dummy	8	0.21212121212121213	0.875	0.3414634146341463	0.578125
tacred:val	9	0.961864406779661	0.7138364779874213	0.8194945848375452	0.8427672955974843
tacred:test	9	0.937984496124031	0.9166666666666666	0.9272030651340997	0.928030303030303
tacred_combined:val	9	0.9605809128630706	0.7279874213836478	0.8282647584973167	0.8490566037735849
tacred_combined:test	9	0.944206008583691	0.8333333333333334	0.8853118712273642	0.8920454545454546
tacred_empty:val	9	0	0	0	1.0
tacred_empty:test	9	0	0	0	1.0
unifiedQA:test	9	0.925	0.6727272727272727	0.7789473684210527	0.79
anchor:dummy	9	0.26666666666666666	0.5	0.3478260869565218	0.765625
tacred:val	10	0.961038961038961	0.9308176100628931	0.9456869009584665	0.9465408805031447
tacred:test	10	0.9481481481481482	0.9696969696969697	0.9588014981273408	0.9583333333333334
tacred_combined:val	10	0.9543230016313213	0.9198113207547169	0.9367493995196157	0.9378930817610063
tacred_combined:test	10	0.9309090909090909	0.9696969696969697	0.9499072356215214	0.9488636363636364
tacred_empty:val	10	0	0	0	1.0
tacred_empty:test	10	0	0	0	1.0
unifiedQA:test	10	0.8666666666666667	0.9454545454545454	0.9043478260869566	0.89
anchor:dummy	10	0.2608695652173913	0.75	0.3870967741935483	0.703125
tacred:val	11	0.9561752988047809	0.7547169811320755	0.8435852372583481	0.860062893081761
tacred:test	11	0.9217391304347826	0.803030303030303	0.8582995951417004	0.8674242424242424
tacred_combined:val	11	0.9237588652482269	0.8191823899371069	0.8683333333333334	0.8757861635220126
tacred_combined:test	11	0.9139344262295082	0.8446969696969697	0.8779527559055118	0.8825757575757576
tacred_empty:val	11	0	0	0	1.0
tacred_empty:test	11	0	0	0	1.0
unifiedQA:test	11	0.918918918918919	0.9272727272727272	0.9230769230769231	0.915
anchor:dummy	11	0.5	0.375	0.42857142857142855	0.875
tacred:val	12	0.9583333333333334	0.940251572327044	0.9492063492063493	0.949685534591195
tacred:test	12	0.920863309352518	0.9696969696969697	0.9446494464944649	0.9431818181818182
tacred_combined:val	12	0.9039634146341463	0.9323899371069182	0.9179566563467492	0.9166666666666666
tacred_combined:test	12	0.8869257950530035	0.9507575757575758	0.9177330895795247	0.9147727272727273
tacred_empty:val	12	0	0	0	1.0
tacred_empty:test	12	0	0	0	1.0
unifiedQA:test	12	0.8952380952380953	0.8545454545454545	0.8744186046511628	0.865
anchor:dummy	12	0.3157894736842105	0.75	0.44444444444444436	0.765625
tacred:val	13	0.8922558922558923	0.8333333333333334	0.8617886178861789	0.8663522012578616
tacred:test	13	0.8296296296296296	0.8484848484848485	0.8389513108614232	0.8371212121212122
tacred_combined:val	13	0.8487654320987654	0.8647798742138365	0.8566978193146418	0.8553459119496856
tacred_combined:test	13	0.8253424657534246	0.9128787878787878	0.8669064748201439	0.8598484848484849
tacred_empty:val	13	0	0	0	1.0
tacred_empty:test	13	0	0	0	1.0
unifiedQA:test	13	0.8521739130434782	0.8909090909090909	0.8711111111111111	0.855
anchor:dummy	13	0.35	0.875	0.4999999999999999	0.78125
tacred:val	14	0.896551724137931	0.89937106918239	0.8979591836734694	0.8977987421383647
tacred:test	14	0.8157894736842105	0.9393939393939394	0.8732394366197183	0.8636363636363636
tacred_combined:val	14	0.8241134751773049	0.9135220125786163	0.866517524235645	0.8592767295597484
tacred_combined:test	14	0.8595890410958904	0.9507575757575758	0.9028776978417268	0.8977272727272727
tacred_empty:val	14	0	0	0	1.0
tacred_empty:test	14	0	0	0	1.0
unifiedQA:test	14	0.8632478632478633	0.9181818181818182	0.8898678414096917	0.875
anchor:dummy	14	0.18518518518518517	0.625	0.2857142857142857	0.609375
tacred:val	15	0.9437751004016064	0.7389937106918238	0.8289241622574955	0.8474842767295597
tacred:test	15	0.825	0.75	0.7857142857142856	0.7954545454545454
tacred_combined:val	15	0.8846153846153846	0.7955974842767296	0.837748344370861	0.8459119496855346
tacred_combined:test	15	0.8663793103448276	0.7613636363636364	0.8104838709677419	0.821969696969697
tacred_empty:val	15	0	0	0	1.0
tacred_empty:test	15	0	0	0	1.0
unifiedQA:test	15	0.8032786885245902	0.8909090909090909	0.8448275862068965	0.82
anchor:dummy	15	0.30434782608695654	0.875	0.4516129032258065	0.734375
tacred:val	16	0.8566308243727598	0.7515723270440252	0.8006700167504189	0.8128930817610063
tacred:test	16	0.7786259541984732	0.7727272727272727	0.7756653992395437	0.7765151515151515
tacred_combined:val	16	0.8321799307958477	0.7562893081761006	0.7924217462932454	0.8018867924528302
tacred_combined:test	16	0.8225108225108225	0.7196969696969697	0.7676767676767677	0.7821969696969697
tacred_empty:val	16	0	0	0	1.0
tacred_empty:test	16	0	0	0	1.0
unifiedQA:test	16	0.8490566037735849	0.8181818181818182	0.8333333333333334	0.82
anchor:dummy	16	0.22727272727272727	0.625	0.3333333333333333	0.6875
tacred:val	17	0.9395348837209302	0.6352201257861635	0.7579737335834896	0.7971698113207547
tacred:test	17	0.8651685393258427	0.5833333333333334	0.6968325791855204	0.7462121212121212
tacred_combined:val	17	0.9159663865546218	0.6855345911949685	0.7841726618705035	0.8113207547169812
tacred_combined:test	17	0.868421052631579	0.625	0.7268722466960352	0.7651515151515151
tacred_empty:val	17	0	0	0	1.0
tacred_empty:test	17	0	0	0	1.0
unifiedQA:test	17	0.8666666666666667	0.7090909090909091	0.7800000000000001	0.78
anchor:dummy	17	0.2	0.25	0.22222222222222224	0.78125
tacred:val	18	0.9438775510204082	0.5817610062893082	0.7198443579766536	0.7735849056603774
tacred:test	18	0.8433734939759037	0.5303030303030303	0.6511627906976744	0.7159090909090909
tacred_combined:val	18	0.9211136890951276	0.6242138364779874	0.7441424554826616	0.785377358490566
tacred_combined:test	18	0.863905325443787	0.553030303030303	0.674364896073903	0.7329545454545454
tacred_empty:val	18	0	0	0	1.0
tacred_empty:test	18	0	0	0	1.0
unifiedQA:test	18	0.82	0.7454545454545455	0.780952380952381	0.77
anchor:dummy	18	0.08333333333333333	0.125	0.1	0.71875
tacred:val	19	0.9076305220883534	0.710691823899371	0.7971781305114638	0.8191823899371069
tacred:test	19	0.8016528925619835	0.7348484848484849	0.766798418972332	0.7765151515151515
tacred_combined:val	19	0.8478632478632478	0.779874213836478	0.8124488124488125	0.8199685534591195
tacred_combined:test	19	0.7849056603773585	0.7878787878787878	0.7863894139886579	0.7859848484848485
tacred_empty:val	19	0	0	0	1.0
tacred_empty:test	19	0	0	0	1.0
unifiedQA:test	19	0.8157894736842105	0.8454545454545455	0.8303571428571429	0.81
anchor:dummy	19	0.05	0.125	0.07142857142857144	0.59375
