Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7366863905325444	0.7854889589905363	0.7603053435114504	0.7515723270440252
tacred:test	-1	0.8053691275167785	0.9090909090909091	0.8540925266903915	0.8446969696969697
tacred_combined:val	-1	0.5970695970695971	0.7799043062200957	0.6763485477178423	0.6187106918238994
tacred_combined:test	-1	0.6199460916442049	0.8712121212121212	0.7244094488188977	0.6666666666666666
unifiedQA:test	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
anchor:dummy	-1	0.13114754098360656	1.0	0.23188405797101452	0.171875
tacred:val	0	0.9925373134328358	0.8364779874213837	0.9078498293515358	0.9150943396226415
tacred:test	0	1.0	0.9166666666666666	0.9565217391304348	0.9583333333333334
tacred_combined:val	0	0.9703315881326352	0.8742138364779874	0.9197684036393713	0.9237421383647799
tacred_combined:test	0	0.9796747967479674	0.9128787878787878	0.9450980392156861	0.946969696969697
unifiedQA:test	0	0.9484536082474226	0.8363636363636363	0.8888888888888888	0.885
anchor:dummy	0	0.36363636363636365	1.0	0.5333333333333333	0.78125
tacred:val	1	0.9890909090909091	0.8553459119496856	0.9173693086003373	0.9229559748427673
tacred:test	1	0.9834710743801653	0.9015151515151515	0.940711462450593	0.9431818181818182
tacred_combined:val	1	0.9724137931034482	0.8867924528301887	0.9276315789473685	0.9308176100628931
tacred_combined:test	1	0.9563492063492064	0.9128787878787878	0.9341085271317829	0.9356060606060606
unifiedQA:test	1	0.9880952380952381	0.7545454545454545	0.8556701030927836	0.86
anchor:dummy	1	0.875	0.875	0.875	0.96875
tacred:val	2	0.9473684210526315	0.9622641509433962	0.9547581903276131	0.9544025157232704
tacred:test	2	0.920863309352518	0.9696969696969697	0.9446494464944649	0.9431818181818182
tacred_combined:val	2	0.9638364779874213	0.9638364779874213	0.9638364779874213	0.9638364779874213
tacred_combined:test	2	0.924187725631769	0.9696969696969697	0.9463955637707948	0.9450757575757576
unifiedQA:test	2	0.865546218487395	0.9363636363636364	0.8995633187772926	0.885
anchor:dummy	2	0.1951219512195122	1.0	0.326530612244898	0.484375
tacred:val	3	0.976897689768977	0.9308176100628931	0.9533011272141707	0.9544025157232704
tacred:test	3	0.992	0.9393939393939394	0.9649805447470818	0.9659090909090909
tacred_combined:val	3	0.9706840390879479	0.9371069182389937	0.9536	0.9544025157232704
tacred_combined:test	3	0.9514925373134329	0.9659090909090909	0.9586466165413534	0.9583333333333334
unifiedQA:test	3	0.8524590163934426	0.9454545454545454	0.8965517241379309	0.88
anchor:dummy	3	0.32	1.0	0.48484848484848486	0.734375
tacred:val	4	0.9559748427672956	0.9559748427672956	0.9559748427672956	0.9559748427672956
tacred:test	4	0.9770992366412213	0.9696969696969697	0.9733840304182511	0.9734848484848485
tacred_combined:val	4	0.9606299212598425	0.9591194968553459	0.9598741148701809	0.9599056603773585
tacred_combined:test	4	0.9553903345724907	0.9734848484848485	0.9643527204502814	0.9640151515151515
unifiedQA:test	4	0.9051724137931034	0.9545454545454546	0.9292035398230089	0.92
anchor:dummy	4	0.14285714285714285	0.875	0.2456140350877193	0.328125
tacred:val	5	0.9790940766550522	0.8836477987421384	0.9289256198347108	0.9323899371069182
tacred:test	5	0.9833333333333333	0.8939393939393939	0.9365079365079364	0.9393939393939394
tacred_combined:val	5	0.9792387543252595	0.889937106918239	0.9324546952224053	0.9355345911949685
tacred_combined:test	5	0.9686274509803922	0.9356060606060606	0.9518304431599228	0.9526515151515151
unifiedQA:test	5	0.84	0.9545454545454546	0.8936170212765958	0.875
anchor:dummy	5	0.2857142857142857	1.0	0.4444444444444445	0.6875
tacred:val	6	0.9641693811074918	0.9308176100628931	0.9472	0.9481132075471698
tacred:test	6	0.9922480620155039	0.9696969696969697	0.9808429118773947	0.9810606060606061
