Dataset	Epoch	Precision	Recall	F1	Accuracy
tacred:val	-1	0.7661538461538462	0.7854889589905363	0.7757009345794393	0.7720125786163522
tacred:test	-1	0.8275862068965517	0.9090909090909091	0.8664259927797834	0.8598484848484849
tacred_combined:val	-1	0.5776173285198556	0.768	0.6593406593406593	0.5974842767295597
tacred_combined:test	-1	0.5923076923076923	0.875	0.7064220183486238	0.6287878787878788
unifiedQA:test	-1	0.803030303030303	0.9636363636363636	0.8760330578512396	0.85
anchor:dummy	-1	0.13114754098360656	1.0	0.23188405797101452	0.171875
tacred:val	0	0.9596273291925466	0.9716981132075472	0.965625	0.9654088050314465
tacred:test	0	0.9420289855072463	0.9848484848484849	0.962962962962963	0.9621212121212122
tacred_combined:val	0	0.9525993883792049	0.9795597484276729	0.9658914728682171	0.9654088050314465
tacred_combined:test	0	0.931899641577061	0.9848484848484849	0.9576427255985268	0.9564393939393939
unifiedQA:test	0	0.9285714285714286	0.9454545454545454	0.9369369369369368	0.93
anchor:dummy	0	0.1951219512195122	1.0	0.326530612244898	0.484375
tacred:val	1	0.974910394265233	0.8553459119496856	0.9112227805695142	0.9166666666666666
tacred:test	1	1.0	0.8106060606060606	0.895397489539749	0.9053030303030303
tacred_combined:val	1	0.9824868651488616	0.8820754716981132	0.9295774647887324	0.9331761006289309
tacred_combined:test	1	0.9907407407407407	0.8106060606060606	0.8916666666666666	0.9015151515151515
unifiedQA:test	1	0.9538461538461539	0.5636363636363636	0.7085714285714286	0.745
anchor:dummy	1	0.2222222222222222	1.0	0.3636363636363636	0.5625
tacred:val	2	0.9666666666666667	0.9119496855345912	0.9385113268608414	0.940251572327044
tacred:test	2	0.9923664122137404	0.9848484848484849	0.9885931558935361	0.9886363636363636
tacred_combined:val	2	0.9660743134087237	0.940251572327044	0.952988047808765	0.9536163522012578
tacred_combined:test	2	0.9736842105263158	0.9810606060606061	0.9773584905660377	0.9772727272727273
unifiedQA:test	2	0.875	0.8909090909090909	0.8828828828828829	0.87
anchor:dummy	2	0.18181818181818182	1.0	0.3076923076923077	0.4375
tacred:val	3	0.9611650485436893	0.9339622641509434	0.9473684210526316	0.9481132075471698
tacred:test	3	0.9624060150375939	0.9696969696969697	0.9660377358490566	0.9659090909090909
tacred_combined:val	3	0.9755301794453507	0.940251572327044	0.9575660528422738	0.9583333333333334
tacred_combined:test	3	0.9800796812749004	0.9318181818181818	0.9553398058252428	0.9564393939393939
unifiedQA:test	3	0.875	0.9545454545454546	0.9130434782608695	0.9
anchor:dummy	3	0.16	1.0	0.2758620689655173	0.34375
tacred:val	4	0.9367469879518072	0.9779874213836478	0.9569230769230769	0.9559748427672956
tacred:test	4	0.9416058394160584	0.9772727272727273	0.9591078066914498	0.9583333333333334
tacred_combined:val	4	0.9442771084337349	0.9858490566037735	0.9646153846153845	0.9638364779874213
tacred_combined:test	4	0.935361216730038	0.9318181818181818	0.9335863377609107	0.9337121212121212
unifiedQA:test	4	0.9223300970873787	0.8636363636363636	0.892018779342723	0.885
anchor:dummy	4	0.16	1.0	0.2758620689655173	0.34375
tacred:val	5	0.9583333333333334	0.940251572327044	0.9492063492063493	0.949685534591195
