Experiment	Model	tacred:train	unifiedQA:train_indirect_neg_2000	unifiedQA:train_indirect_pos_2000	unifiedQA:train_scr82_all_2916	tacred_empty:train	unifiedQA:train_direct_2000	tacred_combined:train	Epoch	tacred_combined:val	unifiedQA:test	tacred:val	tacred_empty:val	tacred_empty:test	tacred_combined:test	tacred:test	anchor:dummy
1	large	-	-	-	yes	-	-	-	-1	-1	0.9056603773584905	0.7951807228915662	-1	-1	-1	0.7985611510791367	0.5
1	large	-	-	-	yes	-	-	-	0	-1	0.9064039408866994	0.6325411334552101	-1	-1	-1	0.6509433962264151	0.5714285714285715
1	large	-	-	-	yes	-	-	-	1	-1	0.6666666666666667	0.4472049689440994	-1	-1	-1	0.35428571428571426	0.9333333333333333
1	large	-	-	-	yes	-	-	-	2	-1	0.3795620437956204	0.2572178477690289	-1	-1	-1	0.18791946308724833	0.7692307692307693
1	large	-	-	-	yes	-	-	-	3	-1	0.5660377358490567	0.36533957845433257	-1	-1	-1	0.2802547770700637	0.9333333333333333
1	large	-	-	-	yes	-	-	-	4	-1	0.3884892086330935	0.26730310262529833	-1	-1	-1	0.15584415584415584	0.9333333333333333
1	large	-	-	-	yes	-	-	-	5	-1	0.27692307692307694	0.21195652173913046	-1	-1	-1	0.11267605633802819	0.2222222222222222
1	large	-	-	-	yes	-	-	-	6	-1	0.39716312056737585	0.30024213075060535	-1	-1	-1	0.20408163265306123	0.8571428571428571
1	large	-	-	-	yes	-	-	-	7	-1	0.1951219512195122	0.13850415512465375	-1	-1	-1	0.05839416058394161	0.5454545454545454
1	large	-	-	-	yes	-	-	-	8	-1	0.37037037037037035	0.21890547263681592	-1	-1	-1	0.14666666666666667	0.4
1	large	-	-	-	yes	-	-	-	9	-1	0.6190476190476191	0.4082474226804124	-1	-1	-1	0.2941176470588235	0.8571428571428571
1	large	-	-	-	yes	-	-	-	10	-1	0.1176470588235294	0.14917127071823205	-1	-1	-1	0.014084507042253523	0.0
1	large	-	-	-	yes	-	-	-	11	-1	0.36496350364963503	0.17941952506596306	-1	-1	-1	0.10666666666666667	0.4
1	large	-	-	-	yes	-	-	-	12	-1	0.2945736434108527	0.17647058823529413	-1	-1	-1	0.1739130434782609	0.2
1	large	-	-	-	yes	-	-	-	13	-1	0.700507614213198	0.5747800586510263	-1	-1	-1	0.4838709677419355	0.6399999999999999
